"state","politician_d","politician_e","politician_f"
"Alabama",53.9596592821181,58.1115642562509,52.0311165135354
"Alaska",47.3496391717345,51.1472093034536,65.1482819207013
"Arizona",68.9143922645599,32.6409555599093,50.9263633470982
"Arkansas",36.562782432884,53.2722948584706,34.496410228312
"California",33.3241797890514,48.2478341087699,56.6022217925638
"Colorado",30.9708686452359,42.497147237882,33.4794068802148
"Connecticut",53.7444609589875,57.4887085333467,34.6662752237171
"Delaware",69.3307432252914,44.9802111368626,43.2967911008745
"Florida",58.5006595216691,64.5063415635377,39.4737271778286
"Georgia",54.7369359992445,47.7763240132481,30.5816278140992
"Hawaii",58.8182074762881,53.3455962873995,61.3753431942314
"Idaho",30.6203261017799,44.1172727849334,35.2789418771863
"Illinois",61.9643712043762,44.9099400918931,56.4997221902013
"Indiana",45.4306805878878,33.6302215978503,31.6535768657923
"Iowa",69.610473131761,50.238589476794,44.3125506024808
"Kansas",56.5079741645604,66.5440637618303,65.1948195230216
"Kentucky",32.3747152183205,48.3313108887523,59.9242983199656
"Louisiana",64.5527713745832,63.2112008146942,64.2181542702019
"Maine",32.1369978319854,46.1138743627816,61.353951273486
"Maryland",45.7384395133704,60.5748093593866,55.1340985763818
"Massachusetts",44.1541523952037,31.4325961656868,34.3922079820186
"Michigan",52.4118794407696,46.963962065056,44.774274546653
"Minnesota",42.2735706251115,68.7347668129951,53.5672949906439
"Mississippi",41.9422277808189,45.3889076691121,38.322973549366
"Missouri",38.0274804402143,66.2148502189666,43.4039783570915
"Montana",64.5744219888002,33.6682334542274,64.4515601731837
"Nebraska",58.3952921349555,60.779924383387,35.6451787799597
"Nevada",30.4197821579874,58.7126726377755,42.0140219200402
"New Hampshire",47.6834668032825,31.3532200362533,40.5907151289284
"New Jersey",40.3788318205625,38.692975435406,58.1660844944417
"New Mexico",39.8196817561984,61.6958753578365,53.9154045283794
"New York",48.2452011015266,59.112247955054,38.7327070347965
"North Carolina",44.1882965154946,30.6884953193367,38.997594891116
"North Dakota",38.4475694969296,55.6194755341858,66.968138506636
"Ohio",59.820310799405,51.3338180910796,54.0060419496149
"Oklahoma",67.6122977305204,55.4846791923046,51.7921584285796
"Oregon",35.2454164158553,41.0004731360823,46.6690366342664
"Pennsylvania",57.5603324081749,66.4297961071134,30.0350053515285
"Rhode Island",30.9395554009825,58.840098362416,40.7944269105792
"South Carolina",67.0424884278327,58.7921947054565,66.0629773512483
"South Dakota",63.0308124981821,47.8362528793514,36.0941718518734
"Tennessee",51.1485940590501,48.0992389377207,34.9376033898443
"Texas",68.4213533438742,50.8919050637633,55.6674470566213
"Utah",51.7747338954359,30.0718913134187,58.0873772222549
"Vermont",50.3188766166568,46.4858758915216,42.9229274578393
"Virginia",63.1097504775971,40.0099964439869,31.611191034317
"Washington",55.5236849561334,46.6009963583201,41.5025260392576
"West Virginia",35.0945209152997,66.9274883158505,68.2078212872148
"Wisconsin",64.8411778826267,51.4046264905483,42.1508969273418
"Wyoming",65.8562611136585,65.1391594111919,63.1733173970133
